1 1:0.68421 2:-0.616601 3:0.144385 4:-0.484536 5:0.23913 6:0.255172 7:0.147679 8:-0.433962 9:0.18612 10:-0.255973 11:-0.089431 12:0.941392 13:0.122682 
1 1:0.142105 2:-0.588933 3:-0.165775 4:-0.938144 5:-0.347826 6:0.151724 7:0.0210971 8:-0.509434 9:-0.451104 10:-0.47099 11:-0.0731708 12:0.56044 13:0.101284 
1 1:0.121053 2:-0.359684 3:0.40107 4:-0.175258 5:-0.326087 6:0.255172 7:0.223629 8:-0.358491 9:0.514196 10:-0.249147 11:-0.105691 12:0.391941 13:0.293866 
1 1:0.757895 2:-0.521739 3:0.219251 4:-0.360825 5:-0.0652174 6:0.97931 7:0.329114 8:-0.584906 9:0.116719 10:0.112628 11:-0.382114 12:0.59707 13:0.714693 
1 1:0.163158 2:-0.268775 3:0.614973 4:0.0721649 5:0.0434783 6:0.255172 7:-0.00843878 8:-0.018868 9:-0.11041 10:-0.481229 11:-0.089431 12:0.216117 13:-0.348074 
1 1:0.668421 2:-0.596838 3:0.165775 4:-0.525773 5:-0.0869565 6:0.57931 7:0.28692 8:-0.207547 9:-0.0157728 10:-0.0665529 11:-0.0731708 12:0.157509 13:0.671897 
1 1:0.768421 2:-0.55336 3:0.165775 4:-0.587629 5:-0.434783 6:0.0482758 7:-0.0801688 8:-0.358491 9:-0.00946369 10:-0.322526 11:-0.121951 12:0.692308 13:0.443652 
1 1:0.594737 2:-0.442688 3:0.336898 4:-0.278351 5:0.108696 6:0.117241 7:-0.0843882 8:-0.320755 9:-0.470032 10:-0.356655 11:-0.0569107 12:0.692308 13:0.450785 
1 1:1 2:-0.644269 3:-0.13369 4:-0.649485 5:-0.413043 6:0.255172 7:0.113924 8:-0.396226 9:-0.00946369 10:-0.331058 11:-0.0243902 12:0.157509 13:0.0941512 
1 1:0.489474 2:-0.758893 3:-0.026738 4:-0.443299 5:-0.391304 6:0.37931 7:0.185654 8:-0.660377 9:-0.0914826 10:0.0136518 11:-0.138211 12:0.67033 13:0.0941512 
1 1:0.61579 2:-0.438735 3:0.00534752 4:-0.237113 5:-0.23913 6:0.358621 7:0.257384 8:-0.660377 9:0.242902 10:-0.237201 11:0.252032 12:0.391941 13:0.757489 
1 1:0.626316 2:-0.70751 3:0.0267379 4:-0.360825 5:-0.456522 6:-0.158621 7:-0.118143 8:-0.509434 9:-0.268139 10:-0.365188 11:0.121951 12:0.135531 13:0.429387 
1 1:0.431579 2:-0.608696 3:0.122995 4:-0.443299 5:-0.586957 6:0.117241 7:0.0210971 8:-0.396226 9:-0.116719 10:-0.262799 11:0.0894308 12:0.194139 13:0.486448 
1 1:0.957895 2:-0.608696 3:0.101604 4:-0.917526 5:-0.543478 6:0.462069 7:0.413502 8:0.132075 9:0.514196 10:-0.296928 11:0.252032 12:0.0695971 13:0.243937 
1 1:0.763158 2:-0.55336 3:0.0909092 4:-0.85567 5:-0.304348 6:0.6 7:0.392405 8:-0.396226 9:0.608833 10:0.0614334 11:0.170732 12:0.267399 13:0.810271 
1 1:0.368421 2:-0.577075 3:0.433155 4:-0.319588 5:-0.0869565 6:0.289655 7:0.0843882 8:-0.358491 9:-0.337539 10:0.0273038 11:0.300813 12:0.179487 13:0.472183 
1 1:0.721053 2:-0.533597 3:0.454545 4:-0.0309279 5:0.0869565 6:0.255172 7:0.181435 8:-0.245283 9:-0.0157728 10:-0.16041 11:-0.0406503 12:0.0109891 13:0.429387 
1 1:0.473684 2:-0.671937 3:0.347593 4:-0.0309279 5:-0.0217391 6:0.358621 7:0.291139 8:0.0188679 9:-0.173502 10:-0.0921502 11:0.0569105 12:-0.0476191 13:0.215407 
1 1:0.663158 2:-0.664032 3:0.197861 4:-0.391753 5:-0.173913 6:0.6 7:0.514768 8:-0.283019 9:-0.0851735 10:0.266212 11:0.219512 12:0.135531 13:1 
1 1:0.373684 2:-0.0671938 3:0.283422 4:-0.525773 6:0.186207 7:0.135021 8:-0.849057 9:-0.211356 10:-0.348123 11:-0.219512 12:0.531135 13:-0.191155 
1 1:0.594737 2:-0.648221 3:-0.0160428 4:-0.443299 5:0.217391 6:0.393103 7:0.194093 8:-0.584906 9:0.066246 10:-0.254266 11:-0.00813005 12:0.787546 13:-0.28388 
1 1:2.50967e-07 2:0.209486 3:0.379679 4:-0.175258 5:-0.304348 6:-0.0137931 7:-0.126582 8:-0.54717 9:-0.00946369 10:-0.450512 11:-0.105691 12:0.648352 13:-0.298146 
1 1:0.410526 2:-0.557312 3:0.0695186 4:-0.381443 5:-0.326087 6:0.124138 7:0.07173 8:-0.471698 9:-0.192429 10:-0.569966 11:0.0243902 12:1 13:0.0798859 
1 1:-0.042105 2:-0.660079 3:0.240642 4:-0.257732 5:-0.456522 6:0.0344827 7:-0.14346 8:-0.509434 9:-0.337539 10:-0.547782 11:-0.00813005 12:0.728938 13:0.0513552 
1 1:0.3 2:-0.577075 3:0.336898 4:-0.0309279 5:-0.434783 6:0.0689654 7:-0.0421941 8:-0.433962 9:-0.211356 10:-0.617747 11:0.0406504 12:0.868132 13:-0.191155 
1 1:0.0631581 2:-0.482213 3:0.989305 4:0.484536 5:0.173913 6:0.137931 7:-0.0126582 8:0.283019 9:-0.0473186 10:-0.607509 11:0.0569105 12:0.413919 13:-0.212553 
1 1:0.242106 2:-0.592885 3:0.347593 4:-0.43299 5:-0.5 6:0.289655 7:0.0970465 8:-0.207547 9:-0.343849 10:-0.399317 11:-0.284553 12:0.428571 13:0.308131 
